Purpose,Period,AccessMode,SegID,LinkID,Direction,N,Mode,Name,LongName,RouteDir,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT,OD_Board,OD_Board_FromSkim_LCL,OD_Board_FromSkim_COR,OD_Board_FromSkim_BRT,OD_Board_FromSkim_EXP,OD_Board_FromSkim_LRT,OD_Board_FromSkim_CRT
All,ok,drive,0198_008.9,65627_65631,NB,  65627.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_008.9,65631_65645,NB,  65631.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_009.1,65645_65672,NB,  65645.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0198_009.5,65672_65687,NB,  65672.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.09,      0.09,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0
All,ok,drive,0198_009.5,65687_65695,NB,  65687.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_009.9,65695_71302,NB,  65695.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0198_009.9,71302_65775,NB,  71302.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_010.5,65775_71320,NB,  65775.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_010.5,71320_65875,NB,  71320.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_011.0,65875_65953,NB,  65875.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_011.5,65953_65983,NB,  65953.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0198_011.81,65983_66043,NB,  65983.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0198_011.81,66043_66061,NB,  66043.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.09,      0.09,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0
All,ok,drive,0156_000.0,66061_66102,NB,  66061.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,0156_000.2,66102_66112,NB,  66102.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,3062_000.0,66112_66111,EB,  66112.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.13,      0.13,         0,         0,         0,         0,         0,      0.07,      0.07,         0,         0,         0,         0,         0
All,ok,drive,3062_000.3,66111_66110,EB,  66111.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3062_000.3,66110_66109,EB,  66110.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3062_000.6,66109_66108,EB,  66109.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,2837_000.4,66108_66133,NB,  66108.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2837_000.4,66133_66142,NB,  66133.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,2837_000.7,66142_66192,NB,  66142.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2837_000.7,66192_66206,NB,  66192.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,      4.67,      4.67,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0,      2.36,      2.36,         0,         0,         0,         0,         0
All,ok,drive,2832_000.7,66206_66212,EB,  66206.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,2832_000.7,66212_66214,EB,  66212.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2832_000.8,66214_66215,EB,  66214.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2832_000.8,66215_66221,EB,  66215.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2832_000.8,66221_66242,EB,  66221.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.19,      0.19,         0,         0,         0,         0,         0,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2832_000.8,66242_66237,EB,  66242.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2832_000.8,66237_66238,EB,  66237.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,2832_000.8,66238_66220,EB,  66238.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0051_000.6,66220_66248,NB,  66220.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0051_000.6,66248_66263,NB,  66248.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0051_000.6,66263_66273,NB,  66263.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0051_001.0,66273_66302,NB,  66273.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0051_001.0,66302_71429,NB,  66302.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0051_001.6,71429_66339,NB,  71429.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0051_001.6,66339_66372,NB,  66339.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0051_001.6,66372_66393,NB,  66372.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,0051_002.4,66393_66434,NB,  66393.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0051_002.4,66434_66449,NB,  66434.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0089_327.7,66449_66473,NB,  66449.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0089_327.7,66473_66489,NB,  66473.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0089_327.7,66489_66506,NB,  66489.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0089_327.9,66506_66517,NB,  66506.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3080_000.0,66517_66516,EB,  66517.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,      5.68,      5.68,         0,         0,         0,         0,         0,      0.25,      0.25,         0,         0,         0,         0,         0,      2.97,      2.97,         0,         0,         0,         0,         0
All,ok,drive,3080_000.0,66516_66515,EB,  66516.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.56,      0.56,         0,         0,         0,         0,         0,      0.28,      0.28,         0,         0,         0,         0,         0
All,ok,drive,3084_000.9,66515_66540,NB,  66515.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,3084_000.9,66540_66560,NB,  66540.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.13,      0.13,         0,         0,         0,         0,         0,      0.07,      0.07,         0,         0,         0,         0,         0
All,ok,drive,3084_001.3,66560_66582,NB,  66560.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3084_001.3,66582_66600,NB,  66582.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.15,      0.15,         0,         0,         0,         0,         0,      0.08,      0.08,         0,         0,         0,         0,         0
All,ok,drive,3086_000.4,66600_66599,WB,  66600.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,3086_000.4,66599_66603,WB,  66599.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0089_328.8,66603_66636,NB,  66603.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,0089_328.8,66636_66647,NB,  66636.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.40,      0.40,         0,         0,         0,         0,         0,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,0089_328.8,66647_66681,NB,  66647.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0089_329.8,66681_66689,NB,  66681.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.16,      0.16,         0,         0,         0,         0,         0,      0.08,      0.08,         0,         0,         0,         0,         0
All,ok,drive,0089_329.8,66689_66697,NB,  66689.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,0089_329.8,66697_66707,NB,  66697.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0089_329.8,66707_66712,NB,  66707.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.27,      0.27,         0,         0,         0,         0,         0,      0.14,      0.14,         0,         0,         0,         0,         0
All,ok,drive,0089_329.8,66712_66717,NB,  66712.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0089_329.8,66717_66720,NB,  66717.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0089_329.8,66720_66725,NB,  66720.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.18,      0.18,         0,         0,         0,         0,         0,      0.09,      0.09,         0,         0,         0,         0,         0
All,ok,drive,0089_331.1,66725_66730,WB,  66725.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.28,      0.28,         0,         0,         0,         0,         0,      0.14,      0.14,         0,         0,         0,         0,         0
All,ok,drive,0089_331.6,66730_66737,NB,  66730.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2999_001.3,66737_66735,WB,  66737.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.18,      0.18,         0,         0,         0,         0,         0,      0.09,      0.09,         0,         0,         0,         0,         0
All,ok,drive,2999_001.3,66735_66740,WB,  66735.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2999_000.6,66740_66742,WB,  66740.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2999_000.6,66742_66746,WB,  66742.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2999_000.6,66746_66741,WB,  66746.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2999_000.3,66741_66743,WB,  66741.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3033_000.0,66743_66750,NB,  66743.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,      0.14,      0.14,         0,         0,         0,         0,         0,      0.16,      0.16,         0,         0,         0,         0,         0,      0.15,      0.15,         0,         0,         0,         0,         0
All,ok,drive,3033_000.0,66750_66768,NB,  66750.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3033_000.0,66768_66770,NB,  66768.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3033_000.0,66770_71485,NB,  66770.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.25,      1.25,         0,         0,         0,         0,         0,      0.63,      0.63,         0,         0,         0,         0,         0
All,ok,drive,3033_000.0,71485_66769,NB,  71485.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0189_000.6,66769_66790,NB,  66769.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0189_000.6,66790_71488,NB,  66790.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.58,      1.58,         0,         0,         0,         0,         0,      0.79,      0.79,         0,         0,         0,         0,         0
